P,C,G,t (s),EJT,% C,S
30,40,50,114.8554683,32501.01919,0.905111195,0.764412948
30,40,50,106.4566197,32502.64547,0.908441721,0.799848633
30,40,50,121.1461935,32538.81733,0.982519481,0.877056263
30,40,50,100.9029822,32406.93523,0.712433019,0.505284619
30,40,50,135.832442,32446.78625,0.794045467,0.540989689
30,40,50,115.4017172,32517.48541,0.938833009,0.820484849
30,40,50,111.0180116,32511.10291,0.925762045,0.813395978
30,40,50,105.5795922,32542.65062,0.990369824,0.954563465
30,40,50,107.106812,32370.12428,0.637046442,0.392133227
30,40,50,100.3106978,32540.08907,0.98512391,0.968965009
30,40,50,101.8340781,32477.13407,0.856195935,0.726440008
30,40,50,103.8097353,32514.14205,0.931986014,0.852510524
30,40,50,110.8745413,32496.12198,0.895082016,0.760868745
30,40,50,112.1282129,32448.19148,0.796923281,0.59975735
30,40,50,108.8865147,32424.65263,0.748717176,0.537215512
30,40,50,115.1737833,32490.61406,0.883802124,0.727835552
30,40,50,112.2351418,32481.1566,0.864433838,0.705340933
30,40,50,111.3497736,32537.83964,0.980517232,0.911099465
30,50,50,129.5425684,32523.64379,0.951444989,0.79535518
30,50,50,130.0437131,32479.79742,0.86165032,0.651054623
30,50,50,132.4705801,32486.87752,0.876149927,0.666955931
30,50,50,123.7045574,32511.21519,0.925991994,0.770941836
30,50,50,133.4827912,32528.11182,0.960595253,0.798671584
30,50,50,130.5790024,32538.48135,0.981831399,0.843601145
30,50,50,132.0447557,32490.65077,0.883877307,0.679866103
30,50,50,129.988601,32499.77491,0.90256299,0.714500287
30,50,50,143.6827528,32465.29726,0.831954884,0.577427191
30,50,50,148.0993788,32447.09155,0.794670694,0.518916853
30,50,50,132.962188,32524.08043,0.95233921,0.786537176
30,50,50,130.5766568,32503.42477,0.910037682,0.724746254
30,50,50,131.0389266,32451.80482,0.804323188,0.565146464
30,50,50,133.524456,32526.98137,0.958280157,0.794702506
30,50,50,134.381793,32473.58208,0.848921688,0.621677347
30,50,50,127.1198738,32521.73383,0.94753352,0.796310493
30,50,50,130.8379586,32527.8272,0.960012372,0.80572489
30,50,50,129.8405559,32527.27942,0.958890534,0.806924459
30,50,50,135.5510302,32509.84693,0.923189864,0.732032973
30,50,50,150.0210986,32541.60516,0.988228776,0.797331315
40,10,50,44.82969165,32348.33835,0.592430201,0.524193346
40,10,50,45.86974978,32283.93277,0.460531527,0.313152258
40,10,50,46.80674362,32349.33971,0.594480936,0.516561042
40,10,50,48.3414669,32266.48153,0.424792459,0.259533655
40,10,50,47.99408793,32154.50267,0.195466627,0.055150743
40,10,50,48.92763472,32433.46085,0.766755861,0.8404988
40,10,50,50.47155929,32290.17189,0.473308864,0.315330453
40,10,50,49.48007226,32247.10281,0.385106021,0.210836333
40,10,50,48.6582787,32352.87499,0.601720959,0.519053241
40,10,50,47.27618408,32469.93118,0.841444857,1.029745999
40,10,50,55.30084586,32415.21198,0.729383302,0.715394745
40,10,50,54.57717752,32443.62189,0.787565059,0.839590168
40,10,50,54.38073087,32401.69249,0.701696209,0.667691336
40,10,50,53.83647013,32304.07765,0.501787002,0.343163056
40,10,50,54.24071908,32420.74701,0.740718698,0.74497877
40,10,50,51.1198597,32224.64141,0.339106454,0.160833786
40,10,50,51.80467081,32349.13777,0.594067377,0.490328287
40,10,50,54.01694369,32496.81164,0.896494402,1.093528635
40,10,50,53.67875123,32324.82699,0.544280378,0.404337623
40,10,50,51.21803021,32275.92533,0.444132786,0.275622223
40,20,50,72.78308892,32456.31424,0.813558197,0.775821853
40,20,50,79.67055941,32405.51916,0.709532987,0.564022266
40,20,50,78.01792789,32366.43413,0.629489247,0.448620822
40,20,50,80.48576117,32524.32676,0.952843678,1.012007628
40,20,50,74.35756874,32512.54902,0.92872359,1.000254152
40,20,50,65.27868319,32545.52129,0.996248776,1.228428571
40,20,50,68.66182637,32529.55811,0.963557169,1.120462428
40,20,50,70.02678156,32452.08052,0.804887805,0.774174053
40,20,50,69.32401347,32456.68797,0.814323579,0.796438364
40,20,50,76.56543136,32458.69357,0.818430929,0.765504414
40,20,50,71.67311263,32494.52117,0.89180365,0.939421202
40,20,50,69.01665664,32414.09767,0.727101267,0.63637461
40,20,50,66.66941643,32448.83404,0.798239216,0.780374003
40,20,50,65.11091232,32371.25993,0.639372202,0.506617994
40,20,50,68.09205914,32448.70706,0.797979164,0.77167578
40,20,50,67.76747799,32486.21762,0.874798499,0.929619867
40,20,50,71.30821729,32388.06501,0.673787973,0.537621613
40,20,50,73.52227402,32475.1247,0.852080866,0.846744063
40,20,50,66.77533293,32512.91603,0.929475199,1.057225383
40,20,50,68.35904932,32396.47051,0.691001923,0.577511324
40,30,50,97.84231067,32391.47338,0.680768106,0.468527462
40,30,50,91.38006663,32530.53493,0.965557625,0.975283014
